date,value
2013-04-28,135.98
2013-04-29,147.49
2013-04-30,146.93
2013-05-01,139.89
2013-05-02,125.6
2013-05-03,108.13
2013-05-04,115
2013-05-05,118.8
2013-05-06,124.66
2013-05-07,113.44
2013-05-08,115.78
2013-05-09,113.46
2013-05-10,122
2013-05-11,118.68
2013-05-12,117.45
2013-05-13,118.7
2013-05-14,119.8
2013-05-15,115.81
2013-05-16,118.76
2013-05-17,125.3
2013-05-18,125.25
2013-05-19,124.5
2013-05-20,123.62
2013-05-21,123
2013-05-22,124
2013-05-23,126.93
2013-05-24,133.85
2013-05-25,133.22
2013-05-26,136
2013-05-27,135.47
2013-05-28,130.58
2013-05-29,132.59
2013-05-30,132.25
2013-05-31,129.9
